release_year,revenue_adj
2010,954305868
2010,1025467110
2010,1063171911
2011,15
2011,1336
2011,3255
2011,3721
2011,5047
2011,8193
2011,16944
2011,17256
2011,21327
2011,21638
2011,29959
2011,40783
2011,45072
2011,66835
2011,70465
2011,75997
2011,97827
2011,98138
2011,116328
2011,118800
2011,140207
2011,158269
2011,166504
2011,170329
2011,194991
2011,203279
2011,217105
2011,218949
2011,246129
2011,277443
2011,294578
2011,344803
2011,355165
2011,416614
2011,455566
2011,592289
2011,602918
2011,604447
2011,644404
2011,652064
2011,719172
2011,766233
2011,838199
2011,841863
2011,880213
2011,927947
2011,941107
2011,942751
2011,969398
2011,1039778
2011,1070877
2011,1092051
2011,1151833
2011,1257248
2011,1291462
2011,1363191
2011,1695920
2011,1705415
2011,1722557
2011,2423495
2011,2450545
2011,2472457
2011,3004469
2011,3005134
2011,3045998
2011,3102074
2011,3430163
2011,3433950
2011,3552911
2011,3583120
2011,3644531
2011,3843355
2011,4282393
2011,4485768
2011,5191948
2011,5279342
2011,5406066
2011,5462391
2011,5552918
2011,5854139
2011,6651139
2011,6716056
2011,7220450
2011,7495701
2011,9213294
2011,9318309
2011,9816569
2011,9820002
2011,10008493
2011,10328340
2011,11430152
2011,11632777
2011,11813690
2011,11977686
2011,12700735
2011,13108035
2011,13907954
2011,14017496
2011,14177278
2011,14774068
2011,15219265
2011,16744987
2011,16891761
2011,17152214
2011,18092106
2011,18907177
2011,18961691
2011,22237048
2011,22351522
2011,23265553
2011,24159568
2011,24569393
2011,24780648
2011,25322265
2011,26292052
2011,26621649
2011,26758361
2011,27267878
2011,28046044
2011,28119728
2011,29494998
2011,29616559
2011,32632724
2011,33465773
2011,33506905
2011,33648414
2011,33872889
2011,33984862
2011,34304294
2011,35053797
2011,36556592
2011,37324093
2011,37799503
2011,37988560
2011,39253601
2011,39306609
2011,41844620
2011,44335804
2011,45647975
2011,47301798
2011,49507940
2011,51585192
2011,53001088
2011,53557188
2011,56009013
2011,57572000
2011,58068797
2011,59100180
2011,61598778
2011,61830222
2011,62649080
2011,65058885
2011,70201280
2011,73141506
2011,73667525
2011,73844057
2011,74913463
2011,75912718
2011,79575127
2011,80615853
2011,81056619
2011,82016920
2011,82799096
2011,82945875
2011,85332020
2011,85403968
2011,86433625
2011,87044676
2011,92484836
2011,93108387
2011,94166052
2011,94566766
2011,95429438
2011,105285653
2011,106833690
2011,110662826
2011,111438799
2011,113419571
2011,116407102
2011,120469154
2011,123956326
2011,126784077
2011,128226626
2011,129349549
2011,131312814
2011,132648702
2011,137697794
2011,138479671
2011,140071067
2011,142824028
2011,143258069
2011,144651012
2011,145093477
2011,145803734
2011,145878667
2011,146494675
2011,148250647
2011,153055972
2011,155179868
2011,156896545
2011,160129276
2011,164654932
2011,168607979
2011,169472420
2011,171819197
2011,172150434
2011,178324379
2011,180085230
2011,181628118
2011,183906860
2011,196270877
2011,199408879
2011,208341483
2011,209581426
2011,213123296
2011,219960310
2011,220845594
2011,225498881
2011,238204949
2011,246669135
2011,252136541
2011,279558423
2011,290110306
2011,324375126
2011,332208284
2011,333880181
2011,359229614
2011,360557977
2011,430524219
2011,468083718
2011,469804957
2011,538003774
2011,542719817
2011,546497490
2011,606976637
2011,645320794
2011,673453791
2011,690378003
2011,990417500
2011,1089358138
2011,1287183998
2012,28
2012,499
2012,669
2012,1027
2012,1550
2012,1841
2012,2394
2012,2852
2012,2859
2012,5461
2012,6181
2012,7730
2012,13835
2012,14011
2012,17376
2012,21778
2012,23739
2012,29127
2012,29519
2012,42976
2012,58677
2012,63016
2012,70002
2012,76997
2012,84752
2012,90226
2012,95302
2012,97242
2012,114615
2012,172005
2012,239908
2012,245657
2012,259990
2012,264029
2012,265677
2012,273823
2012,303239
2012,357671
2012,398848
2012,410550
2012,512763
2012,513006
2012,558084
2012,580096
2012,608881
2012,678634
2012,681161
2012,839669
2012,949744
2012,955158
2012,1012314
2012,1107290
2012,1181445
2012,1261704
2012,1285828
2012,1331833
2012,1484019
2012,1497449
2012,1570679
2012,1580309
2012,1611995
2012,1686096
2012,1870230
2012,2000690
2012,2612058
2012,2939281
2012,3157936
2012,3178096
2012,3255769
2012,3707307
2012,3806378
2012,4403175
2012,5043668
2012,5758828
2012,5977843
2012,6158107
2012,6498205
2012,6680508
2012,7699078
2012,7726199
2012,7729767
2012,7885975
2012,8066870
2012,8342856
2012,8440950
2012,8669516
2012,8679084
2012,9139243
2012,9143655
2012,9152010
2012,10843574
2012,11036029
2012,11347501
2012,11809859
2012,12566504
2012,12870150
2012,13676318
2012,14824126
2012,16016092
2012,17190551
2012,17202651
2012,18446181
2012,18472526
2012,18646355
2012,20046961
2012,20936426
2012,22385987
2012,22945759
2012,23399295
2012,23476933
2012,26837931
2012,28167279
2012,28827809
2012,29521470
2012,30585593
2012,31082239
2012,31695442
2012,31721459
2012,31721459
2012,32436712
2012,33701729
2012,35039601
2012,36024242
2012,38318559
2012,38975361
2012,39759834
2012,42554986
2012,43898310
2012,44637981
2012,44677870
2012,45707758
2012,47834229
2012,49248871
2012,49674281
2012,50979025
2012,51200478
2012,52064318
2012,55140602
2012,56432488
2012,56529063
2012,59928864
2012,63144774
2012,64832552
2012,64837012
2012,65465066
2012,69426470
2012,69563907
2012,73236848
2012,73806945
2012,75694619
2012,77188345
2012,77395676
2012,81151921
2012,83633328
2012,91242415
2012,94363874
2012,94974428
2012,96644544
2012,99635532
2012,101755032
2012,106623174
2012,108537775
2012,109553407
2012,112391182
2012,113752992
2012,121311536
2012,123925358
2012,125746143
2012,126145716
2012,133411288
2012,135640571
2012,137712921
2012,153642388
2012,158817731
2012,170364686
2012,171214317
2012,173820795
2012,186258691
2012,188811133
2012,191454513
2012,195399167
2012,197619186
2012,207367732
2012,220648512
2012,223180014
2012,228089879
2012,233188006
2012,261458380
2012,262673566
2012,269859485
2012,285873029
2012,287796722
2012,291516096
2012,296864821
2012,331309095
2012,337817165
2012,340365180
2012,357238054
2012,376668582
2012,382908537
2012,403991052
2012,419606303
2012,447541244
2012,511896219
2012,521759416
2012,578410000
2012,592665862
2012,656473402
2012,709384209
2012,714412709
2012,787338009
2012,833158215
2012,965893323
2012,1026712780
2012,1052849483
2012,1443191435
2013,10
2013,91
2013,114
2013,117
2013,213
2013,600
2013,757
2013,3919
2013,4486
2013,5754
2013,5990
2013,6009
2013,7456
2013,7793
2013,8607
2013,8631
2013,9124
2013,10572
2013,10905
2013,14041
2013,15885
2013,17450
2013,18358
2013,20274
2013,20436
2013,28346
2013,30745
2013,32447
2013,32782
2013,35461
2013,37330
2013,37816
2013,48827
2013,53190
2013,59967
2013,70126
2013,76175
2013,96053
2013,98106
2013,126401
2013,128667
2013,164466
2013,169038
2013,298578
2013,320123
2013,321379
2013,327617
2013,358776
2013,415691
2013,426658
2013,436274
2013,486302
2013,490024
2013,563531
2013,611839
2013,682409
2013,956063
